userid,password,residence_state,high_school_name,high_school_city,high_school_state,GPA,college_class,major_1,major_2,SAT_math,SAT_EBRW,ACT_English,ACT_math,ACT_reading,ACT_science,ACT_composite,SAT_literature,SAT_US_hist,SAT_world_hist,SAT_math_I,SAT_math_II,SAT_eco_bio,SAT_mol_bio,SAT_chemistry,SAT_physics,num_AP_passed
40_NY_0,40_NY_0!,NY,Commack High School,Commack,NY,4.0,2024,Physics,History,710.0,720.0,30,29,29,30,30,720.0,720.0,720.0,710.0,730.0,720.0,730.0,710.0,730.0,5
40_NY_1,40_NY_1!,NY,Commack High School,Commack,NY,4.0,2024,Physics,History,630.0,610.0,27,27,29,28,28,730.0,710.0,730.0,730.0,710.0,710.0,730.0,730.0,730.0,7
40_NY_2,40_NY_2!,NY,Commack High School,Commack,NY,4.0,2025,Physics,Philosophy,630.0,630.0,27,29,29,28,28,720.0,710.0,710.0,730.0,730.0,720.0,720.0,710.0,710.0,7
40_NY_3,40_NY_3!,NY,Commack High School,Commack,NY,3.8,2025,Physics,Philosophy,610.0,610.0,29,29,29,28,29,730.0,720.0,720.0,710.0,730.0,730.0,710.0,730.0,730.0,5
40_IL_40,40_IL_40!,IL,Crystal Lake Central High School,Crystal Lake,IL,4.0,2024,Physics,Philosophy,610.0,620.0,29,27,28,27,28,730.0,720.0,720.0,710.0,730.0,710.0,720.0,710.0,730.0,7
40_IL_41,40_IL_41!,IL,Crystal Lake Central High School,Crystal Lake,IL,4.0,2025,Physics,English,610.0,610.0,29,27,28,29,28,730.0,710.0,730.0,730.0,730.0,720.0,710.0,720.0,710.0,7
40_IL_42,40_IL_42!,IL,Crystal Lake Central High School,Crystal Lake,IL,4.0,2025,Physics,Philosophy,620.0,610.0,29,27,28,29,28,730.0,710.0,730.0,730.0,720.0,720.0,730.0,720.0,710.0,7
40_IL_43,40_IL_43!,IL,Crystal Lake Central High School,Crystal Lake,IL,4.0,2024,Physics,History,630.0,610.0,29,28,28,28,28,730.0,730.0,720.0,720.0,710.0,720.0,720.0,710.0,710.0,5
40_KS_80,40_KS_80!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2024,Physics,History,630.0,630.0,27,27,29,27,28,710.0,720.0,710.0,730.0,720.0,720.0,730.0,710.0,710.0,5
40_KS_81,40_KS_81!,KS,Lawrence Free State High School,Lawrence,KS,3.9,2024,Physics,English,630.0,620.0,29,27,29,28,28,710.0,720.0,720.0,710.0,720.0,710.0,710.0,710.0,710.0,5
40_KS_82,40_KS_82!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2025,Physics,Philosophy,610.0,620.0,27,28,29,28,28,720.0,710.0,710.0,710.0,720.0,730.0,720.0,720.0,730.0,5
40_KS_83,40_KS_83!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2025,Physics,Philosophy,630.0,610.0,28,27,28,27,28,710.0,730.0,730.0,730.0,730.0,730.0,720.0,730.0,710.0,6
40_NC_120,40_NC_120!,NC,Providence High School,Charlotte,NC,4.0,2025,Physics,English,630.0,610.0,28,29,29,28,28,720.0,720.0,730.0,720.0,730.0,720.0,720.0,710.0,710.0,7
40_NC_121,40_NC_121!,NC,Providence High School,Charlotte,NC,4.0,2024,Physics,History,610.0,630.0,28,28,29,29,28,720.0,710.0,710.0,730.0,730.0,710.0,710.0,710.0,720.0,6
40_NC_122,40_NC_122!,NC,Providence High School,Charlotte,NC,4.0,2024,Physics,Psychology,610.0,610.0,28,28,28,29,28,710.0,710.0,730.0,730.0,730.0,730.0,710.0,710.0,730.0,7
40_NC_123,40_NC_123!,NC,Providence High School,Charlotte,NC,4.0,2025,Physics,English,620.0,630.0,28,27,29,29,28,730.0,730.0,720.0,710.0,720.0,720.0,710.0,730.0,720.0,6
40_NY_160,40_NY_160!,NY,South Side High School,Rockville Centre,NY,4.0,2025,Physics,Psychology,610.0,620.0,29,27,29,28,28,730.0,730.0,710.0,720.0,730.0,720.0,710.0,710.0,720.0,6
40_NY_161,40_NY_161!,NY,South Side High School,Rockville Centre,NY,4.0,2024,Physics,English,610.0,610.0,29,27,28,27,28,710.0,720.0,720.0,720.0,730.0,710.0,710.0,730.0,720.0,7
40_NY_162,40_NY_162!,NY,South Side High School,Rockville Centre,NY,4.0,2024,Physics,History,630.0,610.0,27,29,29,28,28,720.0,730.0,730.0,730.0,710.0,720.0,720.0,730.0,720.0,7
40_NY_163,40_NY_163!,NY,South Side High School,Rockville Centre,NY,3.9,2025,Physics,History,620.0,620.0,28,27,29,28,28,710.0,720.0,730.0,710.0,720.0,710.0,710.0,720.0,730.0,5
37_GA_0,37_GA_0!,GA,Flowery Branch High School,Flowery Branch,GA,3.8000000000000003,2024,Mathematics,History,580.0,580.0,24,26,26,25,25,700.0,700.0,700.0,690.0,700.0,680.0,700.0,700.0,700.0,5
37_GA_1,37_GA_1!,GA,Flowery Branch High School,Flowery Branch,GA,3.7,2025,Mathematics,Psychology,590.0,580.0,24,25,25,24,24,690.0,680.0,680.0,700.0,690.0,690.0,690.0,700.0,690.0,6
37_GA_2,37_GA_2!,GA,Flowery Branch High School,Flowery Branch,GA,3.7,2025,Mathematics,Philosophy,600.0,600.0,26,24,25,25,25,700.0,700.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,5
37_GA_3,37_GA_3!,GA,Flowery Branch High School,Flowery Branch,GA,3.6,2024,Mathematics,Psychology,590.0,590.0,25,25,26,25,25,690.0,680.0,700.0,690.0,680.0,680.0,700.0,680.0,690.0,6
37_SC_40,37_SC_40!,SC,Ashley Ridge High School,Summerville,SC,3.8000000000000003,2025,Mathematics,English,580.0,600.0,24,26,24,24,24,700.0,690.0,680.0,700.0,680.0,700.0,690.0,690.0,700.0,6
37_SC_41,37_SC_41!,SC,Ashley Ridge High School,Summerville,SC,3.5,2025,Mathematics,Philosophy,590.0,580.0,26,26,25,25,26,690.0,690.0,690.0,700.0,680.0,690.0,700.0,700.0,690.0,4
37_SC_42,37_SC_42!,SC,Ashley Ridge High School,Summerville,SC,3.9000000000000004,2025,Mathematics,English,580.0,600.0,25,26,25,24,25,690.0,690.0,700.0,680.0,680.0,690.0,700.0,690.0,680.0,4
37_SC_43,37_SC_43!,SC,Ashley Ridge High School,Summerville,SC,3.8000000000000003,2025,Mathematics,History,600.0,600.0,25,26,25,26,26,680.0,700.0,690.0,700.0,680.0,700.0,690.0,680.0,690.0,5
